1.000000000000000000e+10,1.148168345781011290e-01,-2.935587793975237503e+00
1.009999974400000000e+10,1.107303527197861515e-01,3.017400318229724654e+00
1.020000051200000000e+10,1.052969993792684383e-01,2.686526610049649655e+00
1.030000025600000000e+10,1.002747789866191147e-01,2.372113487524747377e+00
1.040000000000000000e+10,9.648406576411643065e-02,2.068134596962297511e+00
1.049999974400000000e+10,9.378145417328918876e-02,1.762096249603714027e+00
1.059999948800000000e+10,9.138739538668118334e-02,1.449976647634315885e+00
1.070000025600000000e+10,8.864253662207453865e-02,1.134102752344441800e+00
1.080000000000000000e+10,8.539376853477023688e-02,8.276702768483760186e-01
1.089999974400000000e+10,8.328090742190308315e-02,5.323633505882439110e-01
1.100000051200000000e+10,8.275378279184486541e-02,2.349376685146668253e-01
