6.000000000000000000e+09,3.755094644733629194e-01,-3.052804173575810687e+00
6.200000000000000000e+09,3.652638460782732244e-01,2.474840113578733902e+00
6.400000000000000000e+09,3.391633040455933612e-01,1.720008724506245645e+00
6.600000000000000000e+09,2.957116003336910381e-01,1.034351050072523925e+00
6.800000000000000000e+09,2.946853812378457671e-01,4.213729063153162091e-01
7.000000000000000000e+09,2.873952085050614502e-01,-2.711281987079099953e-01
7.200000000000000000e+09,2.812682156342152795e-01,-9.437928066030183416e-01
7.400000000000000000e+09,2.841613150673095722e-01,-1.639184792518973754e+00
7.600000000000000000e+09,2.743297130609433365e-01,-2.373725226073381211e+00
7.800000000000000000e+09,2.661292368448051615e-01,-3.045908162189770341e+00
8.000000000000000000e+09,2.683213588608482358e-01,2.531176602350828642e+00
