7.500000256000000000e+09,3.361980304693513721e-01,-4.760637158776259703e-02
7.504999936000000000e+09,3.356186389080868526e-01,-6.536300033892132599e-02
7.510000128000000000e+09,3.350058032733225777e-01,-8.310861485304432694e-02
7.514999808000000000e+09,3.344307943640362213e-01,-1.009743978647195811e-01
7.520000000000000000e+09,3.337933419801979440e-01,-1.188293071427120873e-01
7.525000192000000000e+09,3.331521353431061705e-01,-1.367547129221662328e-01
7.529999872000000000e+09,3.326898279954546567e-01,-1.543792353709429466e-01
7.535000064000000000e+09,3.319939893028399092e-01,-1.720805556104604839e-01
7.539999744000000000e+09,3.313970745633998405e-01,-1.897191230258047645e-01
7.544999936000000000e+09,3.307500121592397702e-01,-2.073371968853895964e-01
7.550000128000000000e+09,3.301320246834493766e-01,-2.249324188441646777e-01
7.554999808000000000e+09,3.295055654662177314e-01,-2.424480916755627213e-01
7.560000000000000000e+09,3.288851230327899944e-01,-2.600170251339509742e-01
7.565000192000000000e+09,3.282380053170621537e-01,-2.775629377749818105e-01
7.569999872000000000e+09,3.276341186105046210e-01,-2.951112936529965425e-01
7.575000064000000000e+09,3.270150098721798515e-01,-3.128278500997913047e-01
7.580000256000000000e+09,3.263795232020261228e-01,-3.304002867442473179e-01
7.584999936000000000e+09,3.257798618655665113e-01,-3.479266954517425403e-01
7.590000128000000000e+09,3.251648126847631048e-01,-3.654835365201947184e-01
7.594999808000000000e+09,3.244869001130143427e-01,-3.832974798453134824e-01
7.600000000000000000e+09,3.237278921125484876e-01,-4.010309162352168055e-01
7.605000192000000000e+09,3.230445538001308625e-01,-4.186723170744754974e-01
7.609999872000000000e+09,3.223328259052095079e-01,-4.362768501530627785e-01
7.615000064000000000e+09,3.215721399487431742e-01,-4.538872855210185353e-01
7.619999744000000000e+09,3.207899108805609134e-01,-4.716678075741521647e-01
7.624999936000000000e+09,3.199907396052699138e-01,-4.891023335877408007e-01
7.630000128000000000e+09,3.191797843071241259e-01,-5.062976935834139214e-01
7.634999808000000000e+09,3.183946419454607435e-01,-5.236580941000665845e-01
7.640000000000000000e+09,3.175946765263815141e-01,-5.409395460971717640e-01
7.645000192000000000e+09,3.168073677984018510e-01,-5.580548822176419899e-01
7.649999872000000000e+09,3.160675730061888733e-01,-5.752132266932740157e-01
7.655000064000000000e+09,3.152972629517016845e-01,-5.924980404137951684e-01
7.660000256000000000e+09,3.145968588655459475e-01,-6.096324539872747250e-01
7.664999936000000000e+09,3.139240528401308072e-01,-6.267831062936691788e-01
7.670000128000000000e+09,3.132120711620209330e-01,-6.442103615653070880e-01
7.674999808000000000e+09,3.124465556398288157e-01,-6.616559695332044910e-01
7.680000000000000000e+09,3.116521523221377765e-01,-6.789556316845919426e-01
7.685000192000000000e+09,3.108554545094588950e-01,-6.962418472336393549e-01
7.689999872000000000e+09,3.100378439559698385e-01,-7.132916995413191019e-01
7.695000064000000000e+09,3.092595735693853265e-01,-7.304716345566013569e-01
7.699999744000000000e+09,3.084122778896387085e-01,-7.476417634097636267e-01
7.704999936000000000e+09,3.074726437915542565e-01,-7.646523097104370725e-01
7.710000128000000000e+09,3.065806096193658403e-01,-7.813469323761268459e-01
7.714999808000000000e+09,3.056858250759687534e-01,-7.978584413090155092e-01
7.720000000000000000e+09,3.048076910116852001e-01,-8.141614423716001525e-01
7.725000192000000000e+09,3.039915846054394577e-01,-8.303447086552250278e-01
7.729999872000000000e+09,3.033168465952523207e-01,-8.466030842420366742e-01
7.735000064000000000e+09,3.025487562262553776e-01,-8.631961517599658906e-01
7.740000256000000000e+09,3.017762064243888487e-01,-8.795826498059889920e-01
7.744999936000000000e+09,3.009703827254663899e-01,-8.958492048183803735e-01
7.750000128000000000e+09,3.002361791049161788e-01,-9.119095717700224091e-01
7.754999808000000000e+09,2.995718239673253458e-01,-9.279254730870939438e-01
7.760000000000000000e+09,2.989840644583651175e-01,-9.441901443057566512e-01
7.765000192000000000e+09,2.983523255449252454e-01,-9.605731883150447903e-01
7.769999872000000000e+09,2.977221163893664091e-01,-9.769852974745576457e-01
7.775000064000000000e+09,2.970776601631778813e-01,-9.934165340910368069e-01
7.779999744000000000e+09,2.964193358119722732e-01,-1.009890741022475780e+00
7.784999936000000000e+09,2.957639055295794295e-01,-1.026536818794472339e+00
7.790000128000000000e+09,2.950566606617344712e-01,-1.042886017839504742e+00
7.794999808000000000e+09,2.943612338984141763e-01,-1.059314042298311609e+00
7.800000000000000000e+09,2.936646017926154428e-01,-1.075494389360215797e+00
7.805000192000000000e+09,2.930354166484011591e-01,-1.091588457327162143e+00
7.809999872000000000e+09,2.924017969220909507e-01,-1.107641313064910760e+00
7.815000064000000000e+09,2.917301248129902103e-01,-1.123683580811971838e+00
7.820000256000000000e+09,2.911039511674415325e-01,-1.139588449179764984e+00
7.824999936000000000e+09,2.904768388006308544e-01,-1.155201194801001474e+00
7.830000128000000000e+09,2.899583839971580645e-01,-1.170850808832204937e+00
7.834999808000000000e+09,2.894672583751636274e-01,-1.186874516429063053e+00
7.840000000000000000e+09,2.889208642749171441e-01,-1.202893203958795842e+00
7.845000192000000000e+09,2.883809654298926106e-01,-1.218873441089968868e+00
7.849999872000000000e+09,2.878243820361898186e-01,-1.234671137909346905e+00
7.855000064000000000e+09,2.873558685139175894e-01,-1.250522903133353569e+00
7.859999744000000000e+09,2.869292162297977233e-01,-1.266526983217177715e+00
7.864999936000000000e+09,2.865439500473033196e-01,-1.282829937863253944e+00
7.870000128000000000e+09,2.860636551815728401e-01,-1.299326931582451605e+00
